Headline,IDLink,PublishDate,Source,Title,Topic,TS1,TS2,TS3,stage,label_available
"The warning signs around global economic growth are growing, with Moody's, the influential ratings agency, adding its voice to a clamor of",520,2015-11-10 09:07:10,CNBC,World economy's ability to fight shocks dented: Moody's,economy,,3.0,5.0,training,True
"Richard Jeffrey, chief investment officer at Cazenove Capital Management, discusses the state of the European economy, the outlook for",529,2015-11-10 09:26:12,Bloomberg,Assessing the Health of the European Economy,economy,,0.0,0.0,training,True
"TOKYO """""" World stock markets drifted lower Tuesday after a pessimistic forecast for the world economy added to jitters that stem from the",530,2015-11-10 09:45:13,New York Times,Stocks Drift Lower After Gloomy Forecast for World Economy,economy,0.0,0.0,0.0,training,True
"TOKYO (AP) """""" World stock markets drifted lower Tuesday after a pessimistic forecast for the world economy added to jitters that stem from the",534,2015-11-10 09:49:10,U.S. News & World Report,Stocks drift lower after gloomy forecast for world economy,economy,,1.0,1.0,training,True
"President Peter Mutharika has said it is wrong to insinuate that the Malawian economy has collapsed, expressing optimism that something",531,2015-11-10 09:55:14,Nyasa Times,"Malawi's economy has not collapsed, says APM: Goodall to present ...",economy,1.0,1.0,1.0,training,True
"Given his real estate career, he could speak broadly about economic issues. But if Tuesday's debate takes a turn toward details, will Mr. Trump",540,2015-11-10 10:01:10,New York Times,What to Look for in Republican Debate Promising to Focus on ...,economy,,30.0,44.0,training,True
RBI's Rajan says India is a recovering economy. Tue 10 Nov 2015 10:24:18 GMT. Author: Mike Paterson | Category: Central Banks. Author: Mike Paterson.,550,2015-11-10 10:32:14,ForexLive,RBI's Rajan says India is a recovering economy,economy,,,2.0,training,True
"They were appointed to look at the economic value of Sutton Harbour's fishing and marina activities to the Plymouth economy, and the potential",552,2015-11-10 10:54:14,Western Morning News,28m pumped into Plymouth's economy by Sutton Harbour ...,economy,,0.0,0.0,training,True
"China's new two-child policy could increase economic growth rate by 0.5 percentage points through reducing the dependency ratio, the",555,2015-11-10 11:08:12,Zee News,"China's two child policy to boost economy, increase labour force",economy,,0.0,0.0,training,True
BEIJINGChina will maintain policy support for the economy as it faces headwinds caused by a sluggish world economy and domestic structural,554,2015-11-10 11:31:11,Reuters,China to keep policy support for economy to cope with challenges,economy,0.0,1.0,1.0,training,True
The widely-held criticism of the most recent Republican presidential debate was that substantial economic issues important to Americans were,581,2015-11-10 11:33:11,Fox Business,6 Topics for a Substantial Debate on the Economic Issues,economy,,,0.0,training,True
"As the people of Leyte island in the Philippines rebuild their lives after the 2013 typhoon, an aid worker finds that they are benefiting from the",578,2015-11-10 11:38:09,The Guardian,"Secret aid worker: two years after Haiyan, the aid economy is ...",economy,,,7.0,training,True
"The economy contracted in Q2 at 1.2% y/y and the CPI annualized CPI is stuck at 0%. Therefore, Abe is now focused on the results of his fiscal",580,2015-11-10 11:39:10,FXStreet,JPY: Shinzo Abe targets reduction in corporate taxes to boost ...,economy,,,2.0,training,True
"Some people believe the gig economy will liberate workers from the 9-to-5 grind. Others argue that the rise of companies like Uber, TaskRabbit",590,2015-11-10 12:04:12,Quartz,A 19th-century solution to the high-tech problems of the gig economy,economy,,1.0,2.0,training,True
"Saudi Arabia, the world's largest crude oil exporter, plans to diversify its economy to help combat climate change in a move that could reduce",577,2015-11-10 12:11:09,Al-Arabiya,Saudi Arabia says will diversify oil economy to slow climate change,economy,0.0,0.0,0.0,training,True
"Both the Commission and the OECD (the Organisation for Economic Greece to its bailiwick of mainly poor, emerging economies this year.",589,2015-11-10 12:12:10,Reuters,More misery ahead for Greeks as economy set to shrink again,economy,,0.0,1.0,training,True
Any Greeks hoping their days of economic pain are over following the latest bailout agreement with international lenders should look to the dire,615,2015-11-10 12:49:09,Kathimerini,More misery ahead for Greeks as economy set to shrink again,economy,,,5.0,training,True
Typical Brazilian union protest: against all sales of state assets. Petrobras is divesting in order to lower its debt-to-equity. The company's debt to,605,2015-11-10 12:57:11,Forbes,Brazil's Bottomless Pit Economy Producing More Labor Strikes,economy,,1.0,1.0,training,True
"Atlassian co-founders Mike Cannon-Brookes, left, and Scott Farquhar could become standard bearers for the post-mining boom economy.",618,2015-11-10 13:16:11,The Australian Financial Review,Atlassian IPO to be a game-changer for Australian economy,economy,,0.0,0.0,training,True
"But while the policy shift is expected to usher in new investments and boost consumption at a time when the economy it is slowing, it may also",617,2015-11-10 13:19:09,Voice of America,Analysts: China Two-child Policy Could Spur Economy,economy,,0.0,1.0,training,True
It's also turning out to be one of the most damaging to its economy. With less than two weeks to go before the country holds an unprecedented,627,2015-11-10 13:25:12,Bloomberg,Argentina Is Imperiling Its Economic Future for Political Gain,economy,,,2.0,training,True
Today Simon Danczuk has come under fire for reportedly pulling out of a parliamentary trip at the last minute after discovering he would have to,639,2015-11-10 14:02:10,Spectator.co.uk (blog),Labour's Simon Danczuk under fire over economy class flight snub,economy,,2.0,2.0,training,True
"Last of Group of 20 major economies to submit plan (Adds background, reaction). OSLO Nov 10 (Reuters) - Saudi Arabia, the world's largest",638,2015-11-10 14:26:10,Reuters UK,UPDATE 2-Saudi Arabia says will diversify oil economy to slow ...,economy,0.0,0.0,0.0,training,True
"Today, the Russian economy has fallen into a """"""worse"""""" phase. The collapse in oil prices, coupled with economic sanctions, has significantly",640,2015-11-10 14:27:15,The National Interest Online (blog),Russia's Economy: What Do the Numbers Tell Us?,economy,0.0,2.0,2.0,training,True
"The S&amp;P 500, already riding a four-session losing streak, fell at the open Tuesday as investors pause after a big stock rally due to angst related",649,2015-11-10 14:40:13,USA TODAY,"Stock slide continues on global economy, Fed fears; S&amp;P faces 5 ...",economy,,1.0,1.0,training,True
"NEWARK, N.J. """""" The environmental impacts of a large-scale transformation of the Northeast Corridor rail line would be greatly outweighed by",659,2015-11-10 14:41:12,Worcester Telegram,"Study: Rail upgrades would cut pollution, boost economy",economy,,0.0,0.0,training,True
"Not everything he says about the economy is correct, though. One of his main differences from other Republican challengers is his opposition",650,2015-11-10 14:42:15,Bustle,4 Donald Trump Quotes About The Economy That Actually Make ...,economy,0.0,0.0,0.0,training,True
Canada's budget watchdog says the outlook is growing more bleak just weeks after Prime Minister Justin Trudeau won power with a pledge to,665,2015-11-10 14:48:11,Bloomberg,Economy Weakens for Trudeau as Watchdog Cuts Canada GDP ...,economy,,,6.0,training,True
"In a new note, Goldman Sachs points out that the current economic expansion """""" beginning in July 2009 """""" is now 76 months or 6 1/3 years old",658,2015-11-10 15:05:11,American Enterprise Institute,Will the US economy enter a recession next year  or just keep ...,economy,0.0,0.0,0.0,training,True
The parliamentary budget office says it has downgraded its economic outlook for Canada as the country grapples with weaker growth and,680,2015-11-10 15:31:13,The Province,Trudeau government facing bigger baseline deficits amid weaker ...,economy,,,0.0,training,True
This paper examines the technical achievements and economic impact of Moore's Law; the public policies that encouraged rapid innovation in,674,2015-11-10 15:45:13,American Enterprise Institute,Moore's Law at 50: The performance and prospects of the ...,economy,0.0,0.0,0.0,training,True
"Third-quarter headline economic growth growth of just 1.5 percent belies the American economy's underlying prowess, according to Macquarie",675,2015-11-10 15:51:13,Bloomberg,Macquarie: 10 Charts That Show The U.S. Economy Is Still ...,economy,2.0,5.0,9.0,training,True
France 'ready to cut stake in Renault' says economy minister The French Economy Minister has said the state is ready to reduce its stake in,701,2015-11-10 16:01:12,euronews,France 'ready to cut stake in Renault' says economy minister,economy,,,1.0,training,True
Office vacancies in Seoul will probably remain high this year due to weakened demand for space from companies as South Korea's economic,682,2015-11-10 16:03:16,Bloomberg,"Seoul Office Vacancy to Stay High as Economy Slows, Savills Says",economy,0.0,0.0,0.0,training,True
"In recent days, Starbucks SBUX +0.00% has found itself at the center of a campaign by outraged evangelical Christians who claim its annual",690,2015-11-10 16:16:11,Forbes,The Pumpkin Spice Economy: How Starbucks Lattes Fueled A $500 ...,economy,,1.0,3.0,training,True
"Zhou Xiaochuan, governor of the People's Bank of China, said structural and institutional problems had surfaced as the economy geared",699,2015-11-10 16:21:10,South China Morning Post (subscription),Tough battle ahead against financial risks as China's economy ...,economy,,6.0,6.0,training,True
"He just attacked baby boomers """"""and the way they've pillaged the U.S. economy,"""""" saying the 76 million people born between 1946 and 1964",691,2015-11-10 16:37:13,Forbes,"No, Boomers Aren't What's Wrong With The Economy",economy,1.0,13.0,14.0,training,True
India's government has announced plans to open up the country's economy to foreign investment as Prime Minister Narendra Modi seeks to,700,2015-11-10 16:41:12,Press TV,India to open up its economy to foreign investment,economy,1.0,1.0,1.0,training,True
The death of the Keystone pipeline isn't just an important story about the Canadian economy; it's one of a series of signals that form a trend.,702,2015-11-10 16:42:15,Ottawa Citizen,Ashby: Canada can get past the resource economy,economy,0.0,0.0,0.0,training,True
"It's a conundrum for workers , but also for the companies that make up the gig economy, which want to look as appealing as possible to",706,2015-11-10 16:45:13,The Weekly Standard (blog),The Next Big Thing: 'Gig Economy' Workers' Rights,economy,,1.0,1.0,training,True
" to agree on market incentives and build more charging infrastructure if it is to encourage the uptake of electric cars, Economy Minister Sigmar",712,2015-11-10 17:06:14,Reuters UK,German economy minister calls for e-car incentives,economy,,0.0,0.0,training,True
I've seen people complaining about Destiny's economy changes. I've seen people exhausted with the current content and bemoaning the grind,705,2015-11-10 17:09:13,Forbes,"Destiny's Economy Will Change, But The Grind Will Live Forever",economy,5.0,5.0,7.0,training,True
A coalition of &quot;sharing economy&quot; startups joined labor activists and others Tuesday to endorse efforts for a &quot;flexible safety net&quot; for workers,724,2015-11-10 17:20:10,Phys.Org,'Sharing economy' firms urge safety net for workers,economy,,,4.0,training,True
He also said the nation's drive toward value added economy would be a mirage if diversification is not based on aggressive agriculture driven,733,2015-11-10 17:23:14,Premium Times,Manufacturing sector bane of Nigeria's economy  UN official,economy,,,6.0,training,True
"But he's been a prolific presence on social media, where he acknowledges no one fully understands the economy, defends Ben Bernanke and",711,2015-11-10 17:24:11,Wall Street Journal (blog),Neel Kashkari on the Economy and the Fed in His Own Tweets,economy,1.0,5.0,7.0,training,True
This third party report found that granting China market economy status is and NAFTA economic welfare to decrease by $42.5- $68.5 billion.,740,2015-11-10 18:20:12,MarketWatch,Economic Report Concludes Granting China Market Economy ...,economy,,0.0,0.0,training,True
Headwinds on the economy??????? sINCE HEAD WINDS MEANING FORCES AGAIST THE MOVING OBJECT THAN WHY dxy RALLIED?,741,2015-11-10 18:28:14,Forex Factory,US Treasury's Lew says there are still international headwinds on ...,economy,3.0,3.0,3.0,training,True
"And our next policy steps could be informed by Latin America economic performance in the post-mining boom era. For one, disparate levels of",768,2015-11-10 19:40:12,Business Spectator,A Latin American lesson for our economy,economy,,0.0,1.0,training,True
WELLINGTONKey risks to New Zealand's economy from falling dairy prices and soaring house prices in Auckland have increased this year,773,2015-11-10 20:19:23,Reuters,"NZ cenbank sees higher risks to economy from dairy, China",economy,0.0,0.0,0.0,training,True
"JACKSON, MI """""" Stressing how the U.S. is living in a new economy, U.S. Rep. Tim Walberg met with area leaders and small business owners",794,2015-11-10 20:26:15,MLive.com,US Rep. Tim Walberg talks changing economy and education at ...,economy,,,1.0,training,True
"Tuesday evening. Hosted by Fox Business and the Wall Street Journal, the focus is expected to be on topics related to jobs and the economy.",778,2015-11-10 20:35:12,BostInno,The Sharing Economy Belongs In the GOP Debate,economy,0.0,0.0,0.0,training,True
"London Eye. (AP Photo/Kirsty Wigglesworth). Atomico, the tech investment firm in London started by Skype cofounder Niklas Zennstrom, today",811,2015-11-10 22:46:11,Forbes,Europe's Startup Economy Is In The Best Shape It's Ever Been And ...,economy,,,12.0,training,True
"In terms of aggregate demand, it will take many more years before the Chinese economy has a big enough domestic consumption sector to",814,2015-11-10 22:53:12,Huffington Post,Why Eurasia Will Drive the Global Economy in the Future,economy,,,3.0,training,True
There's the Federal Reserve's plan to raise interest rates -- which poses a deep test to economies worldwide. There's Europe's migration crisis.,817,2015-11-10 23:28:11,Yahoo! Maktoob News,New IMF economist sees major challenges to global economy,economy,0.0,0.0,0.0,training,True
"The poor poll results will be followed by government data out on Monday, which is expected to show the economy slipped back into recession",818,2015-11-10 23:34:11,Reuters,Japan business mood dips as economy seen in recession -Reuters ...,economy,0.0,0.0,0.0,training,True
TOKYO (Reuters) - Confidence among Japanese manufacturers fell in November for a third straight month to levels unseen in about 2-1/2,821,2015-11-10 23:44:11,The Fiscal Times,Japan business mood dips as economy seen in recession: Reuters ...,economy,0.0,0.0,0.0,training,True
"The poor poll results will be followed by government data out on Monday, which is expected to show the economy slipped back into recession",831,2015-11-10 23:58:09,Reuters UK,Japan business mood dips as economy seen in recession - Reuters ...,economy,,,0.0,training,True
"Initially, after the war, the United States was the only significant economy that was not totally in ruins (Germany, Japan, Italy) or deeply",834,2015-11-11 00:00:13,The Epoch Times,US EconomyWhere Has the Mojo Gone?,economy,,,0.0,training,True
"U.S. GDP growth began improving in late 1982, and credit growth climbed along with the economy through 1983. The economy's growth rate",826,2015-11-11 00:06:10,The Globe and Mail,Canadian consumer debt risk rising as economy slows,economy,,0.0,0.0,training,True
Peak coal may have already been reached. A new report released overnight says that the use of thermal coal in power generation across the,827,2015-11-11 00:09:11,RenewEconomy,Peak coal: Consumption falls as major economies look to renewables,economy,,17.0,17.0,training,True
"New Jersey Gov. Chris Christie ripped the Obama economy at the beginning of Tuesday's undercard debate, telling a story to argue people are",833,2015-11-11 00:22:11,The Hill (blog),Christie wins applause on economy,economy,0.0,0.0,0.0,training,True
A pervasive myth regarding low-wage workers is that they are just school kids or uneducated and lack ambition. This false narrative is worse,852,2015-11-11 01:24:10,Huffington Post,An Economy Worthy of our Veterans,economy,,,6.0,training,True
There isn't really anything much new here from Harada. It is interesting hearing his slightly different view on the outlook for CPI &amp; GDP but its,857,2015-11-11 01:47:12,ForexLive,BOJ's Harada: Japan's economy continues to recover moderately,economy,,0.0,0.0,training,True
"FXStreet (Bali) - Bank of Japan monetary policy board member Yutaka Harada, speaking at a meeting with business leaders, said that Japan's",859,2015-11-11 02:05:11,FXStreet,BoJ's Harada: Japan's economy continues to recover moderately,economy,,0.0,0.0,training,True
"9:30 p.m. Fiorina gets into specifics on ways she would boost the economy. &quot;In addition to rolling back what President Obama has done, we",862,2015-11-11 02:49:12,NPR,Pressure Is On For Jeb Bush In Main Debate,economy,,23.0,23.0,training,True
BOJ Board Member: Economy at Risk of Decelerating More. By. Takashi Nakamichi. Takashi Nakamichi. The Wall Street Journal. CANCEL.,864,2015-11-11 02:53:10,Wall Street Journal,BOJ Board Member: Economy at Risk of Decelerating More,economy,,0.0,0.0,training,True
"""""""Pakistan has recently shown tremendous growth potential in broadband services, and the economy is starting to see the benefits of this growth",865,2015-11-11 03:01:12,Business Wire (press release),Internet Society Partners with Pakistan Telecommunications ...,economy,0.0,0.0,0.0,training,True
"I see immense scope for our economic and trade relations to improve and this will benefit both our economies,&quot; the PM said in a pertinent",868,2015-11-11 03:24:10,Economic Times,"Defence, economy, energy, climate change to be on PM Narendra ...",economy,,,8.0,training,True
"The Economy This Month Broken Down For Business enables you to quickly stay on top of the economic climate, giving you time back to focus",872,2015-11-11 03:31:11,Business Insider Australia,"SLIDE DECK: The economy this month, broken down for business",economy,,,0.0,training,True
The focus of her visit to Dartmouth was the economy. Former Gov. John Lynch moderated the discussion. Clinton said the next president needs,869,2015-11-11 03:47:11,WMUR Manchester,"Clinton talks economy, veterans at NH events",economy,,0.0,0.0,training,True
SARS group executive Randall Carolissen said the revenue service would shift some of its attention to the cash-based economy and medium,876,2015-11-11 03:54:11,BDlive,"Sharper tax focus on small businesses, cash economy",economy,,,0.0,training,True
"During the Republican presidential debate Tuesday night, Marco Rubio and Rand Paul let their claws out when arguing about the economy",878,2015-11-11 04:02:12,The Federalist,"Rubio And Paul Face Off Over The Economy, National Debt",economy,,1.0,1.0,training,True
"WASHINGTON - As we near the eighth and last year of Barack Obama's presidency, the economy still remains the overriding issue in the 2016",887,2015-11-11 05:07:12,Town Hall,Examining Obama's Part-Time Economy,economy,,0.0,0.0,training,True
"It's the fuel economy, stupid. As carmakers struggle to achieve maximum miles per gallon, they're shaving off anything resembling dead weight",889,2015-11-11 05:10:09,WIRED,Automakers Are Sacrificing the Spare Tire for Fuel Economy,economy,,27.0,27.0,training,True
"China's leaders are seeking to transition from an investment-driven, manufacturing-dominated economy to a more consumption and",890,2015-11-11 05:34:10,Bloomberg,"China Factory Output, Investment Sluggish as Old Economy Slows",economy,0.0,0.0,0.0,training,True
Fifty candidates for Japan's buzzword of the year award have been revealed by Publisher Jiyukokuminsha and U-Can Inc. They covered a wide,921,2015-11-11 07:33:13,Wall Street Journal (blog),Chinese Economy,economy,,0.0,0.0,training,True
"China's consumers are gradually picking up the baton from the traditional economic engines of manufacturing and real estate, data released on",925,2015-11-11 08:04:10,Financial Times,China shoppers take up baton as pain deepens for old economy,economy,,6.0,7.0,training,True
"BEIJING""""""China's two-track economy diverged further in October as the nation's once-mighty industrial sector continued to struggle while",948,2015-11-11 08:41:10,Wall Street Journal,Chinese Economy Diverges Further in October,economy,,,1.0,training,True
"Govt stimulus programs to get economy going again, that create more household debt, may make the economy worse in the long-run.",938,2015-11-11 08:50:09,Bangkok Post,Household debt makes economy fragile,economy,,,5.0,training,True
"11 -- Ana Armstrong, chief executive officer at Armstrong Investment Managers, discusses China's economy, the push for growth through",940,2015-11-11 08:56:11,Yahoo Finance,Can the Chinese Consumer Boost the Economy?,economy,,,0.0,training,True
"More disappointing data releases for October show China's economy is on a downward trend, with retail sales for the month one of very few",939,2015-11-11 09:01:10,Yahoo Finance,Mixed data puts Chinese economy on shaky ground,economy,,0.0,0.0,training,True
"Johannesburg - The South African economy is showing signs of health, despite declining, according to the BankservAfrica Economic",949,2015-11-11 09:32:12,Independent Online,SA economy shows signs of health,economy,0.0,0.0,0.0,training,True
"This is part of the Globe and Mail's week-long series on baby boomers and how their spending, investing, health and lifestyle decisions could",961,2015-11-11 10:00:14,The Globe and Mail,Working Zoomers aren't a threat to the economy  we're saving it,economy,,0.0,0.0,training,True
"&quot;The German economy is expanding solidly,&quot; the ministry wrote in its monthly report. &quot;Industry is currently experiencing certain headwinds,&quot; it",959,2015-11-11 10:07:11,Nasdaq,"Industrial Activity, Exports Weigh on German Economy in Third Quarter",economy,0.0,0.0,0.0,training,True
BERLIN--The German government's council of economic advisers issued a slightly more cautious outlook for Germany next year as Europe's,976,2015-11-11 10:20:13,Nasdaq,German Economic Advisers Give Slightly More Cautious 2016 Outlook,economy,,,0.0,training,True
Jason Trennert of Strategas Research Partners discusses China's attempts to rebalance its economy and changing market reaction to the,999,2015-11-11 11:50:11,Bloomberg,China's Managed Risks in Move to Consumer Economy,economy,,0.0,0.0,training,True
"Despite that, the traditional drivers of the economy tend to confirm that the decades of headlong growth appear to be moderating. China's",1013,2015-11-11 12:13:13,The Asia Sentinel,China's 3Q Numbers Confirm Switc,economy,,,0.0,training,True
"She faces an uphill struggle to shore up Africa's largest economy, which has been battered by a 40% fall in the price of oil. GDP growth has",1005,2015-11-11 12:18:11,Forbes,Nigeria's Cabinet: Kemi Adeosun Tasked With Fixing Africa's ...,economy,,1.0,1.0,training,True
"BEIJING""""""The two tracks of the Chinese economy moved further apart in October as the nation's once-mighty industrial sector slowed while",1006,2015-11-11 12:39:13,Nasdaq,China''s Two-Track Economy Diverges Further in October,economy,0.0,0.0,0.0,training,True
"Mainland China aims to shift its economy from its overt reliance on industrial exports to domestic consumption. However, the overall bag of data",1023,2015-11-11 13:12:11,Sputnik International,Mixed Chinese Data Indicates Slow Economic Rebalancing,economy,,2.0,3.0,training,True
"MILWAUKEE, Wis. """""" At their fourth debate this election season, the Republican presidential candidates took on the economy, foreign policy",1046,2015-11-11 14:02:10,Christian Broadcasting Network,"Recap: GOP Hopefuls Clash on Economy, Foreign Policy",economy,,,0.0,training,True
A joint letter has been sent by six major UK trade bodies urging the European Commission to implement effective 'pull' or demand-side,1043,2015-11-11 14:06:12,Waste Management World,Circular Economy: Commission Urged to Pull it Off Not Put it Off,economy,,0.0,0.0,training,True
"2 economy, China is one of the biggest importers of metals, like Underlying this is that strong demand usually points to an economy that is",1042,2015-11-11 14:33:11,MarketWatch,What falling copper prices say about the world economy,economy,2.0,7.0,8.0,training,True
Economists are awaiting Thursday's Job Openings and Labor Turnover Survey to see if the rate of people quitting their jobs for something,1047,2015-11-11 14:46:14,Deseret News,Why quitting your job can be good for the economy,economy,0.0,0.0,0.0,training,True
"Building together Public spending programs can catalyze the growth of this new democratic political economy, but they are not necessary for its",1061,2015-11-11 14:59:14,Truth-Out,Building a Democratic Economy: Local Tools in the Struggle Against ...,economy,,,0.0,training,True
The Senate has passed a defense spending bill that bans moving Guantanamo Bay detainees to the United States. This throws a wrench in,1067,2015-11-11 15:22:13,Center for Research on Globalization,America's War Economy: Senate Defense Bill Halts Guantanamo ...,economy,,3.0,3.0,training,True
"The German government's top economic advisers lowered their growth outlook for Germany next year, the latest sign of the challenges",1060,2015-11-11 15:30:10,Nasdaq,Germany''s ''Wise Men'' Lower Growth Outlook for Domestic Economy,economy,0.0,0.0,0.0,training,True
"Despite official data proclaiming Canada is creating more jobs every month, a new analysis from Capital Economics suggests the economy is",1068,2015-11-11 15:36:13,CBC.ca,Canada's economy shedding high-paying jobs for prime-age ...,economy,,11.0,11.0,training,True
"To political junkies and a-politicals alike, the entertainment value of the presidential debates has been indisputable, ranking, as they did, higher",1079,2015-11-11 15:52:09,CNBC,'President Trump' would shake up the economy: CEO,economy,,,5.0,training,True
"FXStreet (C""""rdoba) - According to the Global Markets Research at Nomura there are signs that the global economic slowdown is easing.",1078,2015-11-11 16:03:09,FXStreet,Signs that global economy is recovering strength  Nomura,economy,,0.0,0.0,training,True
"From a historical perspective, the likelihood that this economic recovery will Investors who worry that the U.S. economy is speeding toward",1087,2015-11-11 16:10:12,MarketWatch,Goldman says US economic recovery has about 4 years before it ends,economy,,5.0,21.0,training,True
"Operation Wetback, the Dwight Eisenhower program which rounded up immigrants and in some cases U.S. citizens of Hispanic heritage and",1104,2015-11-11 16:42:11,NBCNews.com,Opinion: Don't Let Economy Get Trumped In Presidential Race,economy,,,1.0,training,True
"It would command more than two-thirds of parliament's 151 seats, which is needed to pass measures to overhaul the economy, he said.",1100,2015-11-11 17:09:15,Bloomberg,Croat Most Party Demand National Unity Government to Fix Economy,economy,0.0,0.0,0.0,training,True
Trends also highlight how the statewide economic outlook is taking a turn for the worse. Texas' real gross domestic product is forecast to slow,1111,2015-11-11 17:27:12,CNBC,"Don't mess with Texas, unless you're oil prices",economy,,8.0,8.0,training,True
The Nigerian economy is in reality a dependent one. This is because the technological basis of the economy is largely foreign. Available,1185,2015-11-11 23:30:15,BusinessDay,The economy and foreign technologies,economy,,0.0,0.0,training,True
"The McKinsey director says China's economy is often viewed as unlike any other, with behaviour irrational at best and criminal at worst.",1186,2015-11-11 23:51:13,Stuff.co.nz,Five myths about the Chinese economy,economy,,1.0,1.0,training,True
"Candidates have revealed their plans to boost the economy, but history shows their talk will likely achieve more with voters than the economy",1189,2015-11-12 00:11:22,Newsy,Why Debate An Economy Candidates Can't Control Or Predict?,economy,,0.0,1.0,training,True
"Andy Economy owns Andy's Auto Body in Madison, where the government boards on which he serves did $38,154 in business during the past",1198,2015-11-12 01:05:13,Belleville News-Democrat,Public boards help boost Andy's economy,economy,,0.0,0.0,training,True
"Robin Chase, Zipcar's co-founder and author of &quot;Peers, Inc.,&quot; discusses the sharing economy with Bloomberg's Cory Johnson on &quot;Bloomberg",1195,2015-11-12 01:06:17,Bloomberg,Zipcar's Co-Founder Weighs In on the Sharing Economy,economy,0.0,0.0,0.0,training,True
"Michael Kelly, global head of multi-assets at PineBridge Investments, discusses what's driving the global economy, the emergence of the",1201,2015-11-12 01:21:10,Bloomberg,China's Economy: the Rise of the Consumer,economy,,1.0,1.0,training,True
"It helps put money in the pockets of Montanans and strengthens our economy. Unfortunately, this common-sense rule is under attack in",1206,2015-11-12 01:45:17,Billings Gazette,"Protect clean water, protect Montana's economy",economy,,0.0,0.0,training,True
"As for the U.S. economy, Lew called it the 'bright spot,' compared to other countries, and said that vast amounts of progress had been made",1212,2015-11-12 02:04:15,Yahoo Finance,Treasury Secretary Lew on the 'Magic' of the US Economy,economy,,,1.0,training,True
"""""""At the least, Australia wants to remind Indonesia not to get too close to China in terms of economy and politics,"""""" he said, adding that Australia",1223,2015-11-12 03:39:10,Jakarta Post,"Australian PM to talk refugees, terrorism, economy with",economy,,,0.0,training,True
"FXStreet (Delhi) - Michael Every, Research Analyst at Rabobank, suggests that the recent economic releases from the mainland suggests that",1226,2015-11-12 04:01:09,FXStreet,China: A mixed bag of economy - Rabobank,economy,,0.0,0.0,training,True
"FXStreet (Delhi) - Tony Kelly, Senior Economist at NAB, notes that there is still solid underlying momentum in the economy despite the",1241,2015-11-12 05:50:09,FXStreet,"US economy, headed for the sky - NAB",economy,,,4.0,training,True
"'Renaissance' for Newport economy. 1 minute ago. Newport's multi-million pound new shopping centre is opening, in what is seen as a landmark for the city",1251,2015-11-12 06:35:11,BBC News,'Renaissance' for Newport economy,economy,,,0.0,training,True
One of the more intractable controversies within monetary economics is measuring the effect of interest rates on the economy.,1252,2015-11-12 06:47:13,Seeking Alpha,Difficulties In Measuring The Effect Of Interest Rates On The Economy,economy,,1.0,1.0,training,True
Malcolm Turnbull says his first talks with Indonesia's President Joko Widodo will centre on their mutual interest in growing economic,1258,2015-11-12 07:15:13,The Australian,PM's Indon talks to focus on economy,economy,,,0.0,training,True
